,title,content,oop_name,Doc
0,Тестирование информационных систем,"Основные виды учебной деятельности  Разделы дисциплины Формируемый Виды учебной деятельности Объем результат времени, ч. обучения по дисциплине Раздел 1. Основы тестирования. РД, РД2  Лекции 8 Тестирование и оценка качества Лабораторные занятия 12 ПО. Самостоятельная работа 34 Раздел 2. Формирование и РДЗ Лекции 8 реализация стратегии Лабораторные занятия 12 тестирования ПО Самостоятельная работа 34  Содержание разделов дисциплины:  Раздел 1. Основы тестирования. Тестирование и оценка качества ПО.  В рамках раздела рассматриваются общие теоретические основы процесса тестирования программного обеспечения, в том числе механизмы выявления, формирования и оценка качества,  требований; стратегии и виды тестирования.  Темы лекций: 1. Тестирование ПО. Ретроспектива и основы.  2. Требования. Выявление. Анализ. Документирование. Проверка.  3. Виды и стратегии тестирования.  Темы практических занятий: 1. Отчеты о дефектах.  2. ГОСТР ИСО/МЭК 25041-2014. Требования и оценка качества систем и программного  обеспечения.  3. ГОСТР ИСОЛМЭК 25021-2014. Требования и оценка качества систем и программного  обеспечения. Элементы показателя качества.  4. Управление проектом. Планирование и отчетность.  Названия лабораторных работ:  1. Требования. Выявление, оценка качества и документирование.  Раздел 2. Формирование и реализация стратегии тестирования ПО  Раздел формирует навыки разработки и реализации стратегии тестирования. Рассматриваются такие специализированные виды тестирования как: автоматизированное, регрессионное и тестирование удобства использования.  Темы лекций: 1. Автоматизация тестирования.  2. Регрессионное тестирование. Нефункциональное тестирование.  3. Тестирование удобства использования.  Названия лабораторных работ: 1. Модульное тестирование. 2. Регрессионное тестирование.  Темы практических занятий: 1. Неформальная проверка кода. Оценка качества документированности кода.  5.",Бизнес-анализ и разработка информационных систем,основной вид учебный деятельность раздел дисциплина формировать вид учебный деятельность объем результат время ч обучение дисциплина раздел основа тестирование рд рд лекция тестирование оценка качество лабораторный занятие по самостоятельный работа раздел формирование рдз лекция реализация стратегия лабораторный занятие тестирование по самостоятельный работа содержание раздел дисциплина раздел основа тестирование тестирование оценка качество по рамка раздел рассматриваться общий теоретический основа процесс тестирование программный обеспечение число механизм выявление формирование оценка качество требование стратегия вид тестирование тема лекция тестирование по ретроспектива основа требование выявление анализ документирование проверка вид стратегия тестирование тема практический занятие отчет дефект гостр исо мэк требование оценка качество система программный обеспечение гостр исолмэк требование оценка качество система программный обеспечение элемент показатель качество управление проект планирование отчетность название лабораторный работа требование выявление оценка качество документирование раздел формирование реализация стратегия тестирование по раздел формировать навык разработка реализация стратегия тестирование рассматриваться специализированный вид тестирование автоматизированный регрессионный тестирование удобство использование тема лекция автоматизация тестирование регрессионный тестирование нефункциональный тестирование тестирование удобство использование название лабораторный работа модульный тестирование регрессионный тестирование тема практический занятие неформальный проверка код оценка качество документированность код
1,Информационные технологии в цифровой среде,"Основные виды учебной деятельности  Формируемый Разделы дисциплины результат Виды учебной деятельности Евы обучения по времени, ч. дисциплине }. Лекции 8 Раздел 1. Основы работы с растровой 2D- ¥ ., РД-1 Лабораторные занятия 16 графикой в дизайне Самостоятельная работа 30 .. Лекции 8 Раздел 2. Основы работы с векторной 2D- ¥ ., РД-1 Лабораторные занятия 16 графикой в дизайне Самостоятельная работа 30  Содержание разделов дисциплины:  Раздел 1. Основы работы с растровой 2)-графикой в дизайне  Введение в изучение растровой графики, цветовых моделей и форматов файлов Темы лекций: 1. Введение. Растровая и векторная графика. Форматы графических файлов.  2  2. Работа с цветом в компьютерной графике: основные определения, параметры цвета 3. Работа с цветом в компьютерной графике: цветовые модели 4. Текст в растровых программах Названия лабораторных работ: Кадрирование, перспектива. Выравнивание горизонта, работа с искажениями Цветокоррекция и перевод в ч/б Работа со слоями, маски слоя, простые коллажи Работа с корректирующими слоями Цветокоррекция с помощью корректирующих слоев Сложные коллажи Кисти, паттерны . Работа с текстом 10. Анимация 11. Создание макета сайта  © чи  \O  Раздел 2. Основы работы с векторной 2)-графикой в дизайне  Введение в изучение векторной графики, верстки документов и подготовка файлов к печати  Темы лекций:  5. Основы разметки и верстки документов  6. Особенности разработки набора печатной продукции  7. Допечатная подготовка файлов  Названия лабораторных работ:  12. Панель инструментов; примитивы, простейшие операции с ними  13. Кривые безье  14. Кривые безье и инструмент форма  15. Узоры из примитивов и кривых безье  16. Работа с текстом (настройки, искривление и т.д.)  17. Работа со слоями  18. Направляющие, сетки, выделение по контуру  19. Заливки  5.",Бизнес-анализ и разработка информационных систем,основной вид учебный деятельность формировать раздел дисциплина результат вид учебный деятельность ева обучение время ч дисциплина } лекция раздел основа работа растровый d- ¥ рд-1 лабораторный занятие 16 графика дизайн самостоятельный работа лекция раздел основа работа векторный d- ¥ рд-1 лабораторный занятие 16 графика дизайн самостоятельный работа содержание раздел дисциплина раздел основа работа растровый графика дизайн введение изучение растровый графика цветовой модель формат файл тема лекция введение растровый векторный график формат графический файл работа цвет компьютерный график основной определение параметр цвет работа цвет компьютерный графика цветовой модель текст растровый программа название лабораторный работа кадрирование перспектива выравнивание горизонт работа искажение цветокоррекция перевод ч б работа слой маска слой простой коллаж работа корректировать слой цветокоррекция помощь корректировать слой сложный коллаж кисть паттерн работа текст анимация создание макет сайт © чи \ o раздел основа работа векторный графика дизайн введение изучение векторный графика верстка документ подготовка файл печать тема лекция основа разметка верстка документ особенность разработка набор печатный продукция допечатный подготовка файл название лабораторный работа панель инструмент примитив простой операция кривая безье кривой безье инструмент форма узор примитив кривой безье работа текст настройка искривление так далее работа слой направлять сетка выделение контур заливка
2,Инструментальные средства информационных систем,"Основные виды учебной деятельности  Формируемый результат . Объем Разделы ДИСЦИПЛИНЫ обучения 7D Виды учебной деятельности времени, 4. дисциплине Раздел 1. Проектирование и внедрение Лекции 6 дел. тр Ир AP РД2, РД4 Лабораторные занятия 6 информационных систем Самостоятельная работа 30 Лекции 8 Раздел 2. Конфиг ование д фигурир РД1 Лабораторные занятия 8 информационных систем Самостоятельная работа 40 Раздел 3. Интеграция информационных Лекции 8 дел >. трац рмац РДЗ Лабораторные занятия 8 систем Самостоятельная работа 30 Содержание разделов дисциплины: Раздел 1. Проектирование и внедрение информационных систем  Виды обеспечения ИС. Этапы ЖЦ ИС. Организационно-регламентирующие и нормативно-правовые документы (отечественные и международные — стандарты, рекомендации, законы, акты и т.д.). Ключевые категории информационной безопасности. Методы и средства обеспечения информационной безопасности. Понятие требований. Дерево требований. Понятие ИТ-проекта. Участники. Риски. Календарно-сетевое планирование. Работа с системой управления проектами. План-паспорт проекта. Основные направления развития информационных систем и технологий.  Темы лекций:  1. Понятие информационной системы (ИС). Жизненный цикл ИС.  2. Документационное обеспечение вопросов проектирования и внедрения ИС  3. Основные понятия информационной безопасности.  Названия лабораторных работ:  1. Разработка требований к ИС. Планирование ИТ-проекта. Командная работа.  2. Групповая работа в системе управления проектами.  3. Разработка собственных отчетов в системе бизнес-моделирования Business Studio.  Раздел 2. Конфигурирование информационных систем  Понятие конфигурирования ИС. Объекты программной настройки. Модель данных ИС. Объектно-реляционная методология. Пользовательский интерфейс. Политика управления пользователями. Матрица пользовательских авторизаций. Понятие справочника. Разработка объектной модели ИС Business Studio, Directum, 1C, Адванта. Утилиты, редакторы, организационно-регламентирующие документы и другие средства для программной настройки ИС и ее адаптации к области внедрения. Перечень и последовательность мероприятий по программной настройке ИС.  Темы лекций:  4. Управление требованиями. Управление ИТ-проектами.  5. Объекты конфигурирования.  6. Средства конфигурирования.  7. Этапы конфигурирования.  Названия лабораторных работ:  4. Конфигурирование системы бизнес-моделирования Business Studio.  5. Конфигурирование СЭД DIRECTUM.  3  Раздел 3. Интеграция информационных систем Уровни интеграции ИС и БД. Конфликты обмена данными. Импорт/экспорт данных. Понятие пакета импорта/экспорта. Популярные форматы обмена данными. Технологии удаленного вызова процедур и их применение для интеграции ИС. Интеграция ИС Business Studio и Directum, Адванта и MS Excel. Понятие BI, OLAP, BigData.  Темы лекций:  8. Понятие интеграции ИС.  9. Технологии, методы и средства интеграции ИС.  10. Интеллектуальные технологии обработки данных.  11. Современные тенденции развития ИС.  Названия лабораторных работ:  6. Настройка пакетов импорта/экспорта данных в системе бизнес-моделирования Business Studio. 7. Интеграция информационных систем Business Studio и DIRECTUM.  5.",Бизнес-анализ и разработка информационных систем,основной вид учебный деятельность формировать результат объем разделы дисциплина обучение вид учебный деятельность время дисциплина раздел проектирование внедрение лекция дело тр ир ap рд рд лабораторный занятие информационный система самостоятельный работа лекция раздел конфиг ование фигурир рд лабораторный занятие информационный система самостоятельный работа раздел интеграция информационный лекция дело трац рмац рдз лабораторный занятие система самостоятельный работа содержание раздел дисциплина раздел проектирование внедрение информационный система вид обеспечение иса этап жц иса организационно-регламентирующие нормативно-правовой документ отечественный международный стандарт рекомендация закон акт так далее ключевой категория информационный безопасность метод средство обеспечение информационный безопасность понятие требование дерево требование понятие ит-проект участник риск календарно-сетевой планирование работа система управление проект план-паспорт проект основный направление развитие информационный система технология тема лекция понятие информационный система иса жизненный цикл иса документационный обеспечение вопрос проектирование внедрение иса основной понятие информационный безопасность название лабораторный работа разработка требование иса планирование ит-проект командный работа групповой работа система управление проект разработка собственный отчет система бизнес-моделирование business studio раздел конфигурирование информационный система понятие конфигурирование иса объект программный настройка модель данные иса объектно-реляционный методология пользовательский интерфейс политика управление пользователь матрица пользовательский авторизация понятие справочник разработка объектный модель иса business studio directum адванта утилит редактор организационно-регламентировать документ другой средство программный настройка иса адаптация область внедрение перечень последовательность мероприятие программный настройка иса тема лекция управление требование управление ит-проект объект конфигурирования средство конфигурирование этап конфигурирование название лабораторный работа конфигурирование система бизнес-моделирование business studio конфигурирование сэд directum раздел интеграция информационный система уровень интеграция иса бд конфликт обмен данные импорт экспорт данные понятие пакет импорт экспорт популярный формат обмен данные технология удаленный вызов процедура применение интеграция иса интеграция иса business studio directum адванта ms excel понятие bi olap bigdata тема лекция понятие интеграция иса технология метод средство интеграция иса интеллектуальный технология обработка данные современный тенденция развитие иса название лабораторный работа настройка пакет импорт экспорт данные система бизнес-моделирование business studio интеграция информационный система business studio directum
3,Корпоративные информационные системы и разработка бизнес-приложений,"Основные виды учебной деятельности  Формируемый Разделы дисциплины  бучения по Виды учебной деятельности дн a дисциплине Раздел 1. Теоретические основы и Лекции 8 принципы построения интегрированных РД? Лабораторные занятия 8 корпоративных информационных систем Самостоятельная работа 25 Лекции 8 м Py Лабораторные занятия 8 Самостоятельная работа 25 Лекции 8 Раздел 3. Корпоративные базы данных РДЗ Лабораторные занятия 16 Самостоятельная работа 33  Содержание разделов дисциплины: Раздел 1. Теоретические основы и принципы построения интегрированных корпоративных информационных систем Тенденции развития современных ИТ. Базовые понятия КИС. Главная задача КИС. Классификация КИС. Эволюция КИС: объемно-календарное планирование, статистическое управление запасами, планирование потребности в материалах, планирование потребности в мощностях, планирование производственных ресурсов, системы планирование ресурсов и управления предприятием, управление внутренними ресурсами и внешними связями организации, управление эффективностью бизнеса. Концепция «точно вовремя». Теория ограничений. Темы лекций: 1. Тенденции развития современных IT. 2. Эволюция КИС. Названия лабораторных работ: 1. Создание проекта разработки в Microsoft Dynamics АХ. 2. Создание таблиц. 3. Разработка ЕВ-модели. Раздел 2. Стандартная система управления предприятием Стратегический бизнес-план. План продаж и операций. Основной производственный план. Планирование необходимых материалов и мощностей. Оперативное управление снабжением и производством. Управление финансами. Производство. Темы лекций: 3. Корпорации. Архитектура предприятия. 4. Стандартная система управления предприятием. 5. Состав КИС. Требования, предъявляемые к КИС. 6. Особенности выбора и внедрения КИС. Названия лабораторных работ: 4. Создание пользовательского интерфейса. 5. Безопасность. Создание ролей пользователя. 6. Введение в язык Х+-.  Раздел 3. Корпоративные базы данных  Основные понятия и определения. Организация данных в КИС. Требования, предъявляемые к корпоративным БД. Интеграционные решения корпоративных БД. Технологии доступа к данным в КИС. Хранилища данных. Архитектура хранилищ данных. Темы лекций: 7. Инфраструктура корпоративных информационных систем. 8. Интеграция данных в КИС. 9. Хранилища данных. 10. Безопасность КИС. Названия лабораторных работ: 7. Функциональные возможности языка Х-++. 8. Классы и объекты. 9. Доступ к базе данных. 10. Программная логика процедур обработки хранимой информации.  5.",Бизнес-анализ и разработка информационных систем,основной вид учебный деятельность формировать раздел дисциплина бучение вид учебный деятельность дн a дисциплина раздел теоретический основа лекция принцип построение интегрировать рд лабораторный занятие корпоративный информационный система самостоятельный работа лекция м py лабораторный занятие самостоятельный работа лекция раздел корпоративный база данные рдз лабораторный занятие самостоятельный работа содержание раздел дисциплина раздел теоретический основа принцип построение интегрировать корпоративный информационный система тенденция развитие современный ит базовый понятие киса главный задача киса классификация киса эволюция киса объемно-календарный планирование статистический управление запас планирование потребность материал планирование потребность мощность планирование производственный ресурс система планирование ресурс управление предприятие управление внутренний ресурс внешний связь организация управление эффективность бизнес концепция точно вовремя теория ограничение тема лекция тенденция развитие современный it эволюция киса название лабораторный работа создание проект разработка microsoft dynamics ах создание таблица разработка ев-модель раздел стандартный система управление предприятие стратегический бизнес-план план продажа операция основной производственный план планирование необходимый материал мощность оперативный управление снабжение производство управление финансы производство тема лекция корпорация архитектура предприятие стандартный система управление предприятие состав киса требование предъявлять киса особенность выбор внедрение киса название лабораторный работа создание пользовательский интерфейс безопасность создание роль пользователь введение язык х раздел корпоративный база данные основный понятие определение организация данные киса требование предъявлять корпоративный бд интеграционный решение корпоративный бд технология доступ данные киса хранилище данные архитектура хранилище данные тема лекция инфраструктура корпоративный информационный система интеграция данные киса хранилище данные безопасность киса название лабораторный работа функциональный возможность язык х класс объект доступ база данные программный логика процедура обработка хранить информация
4,Методы и средства разработки информационных систем,"Основные виды учебной деятельности Формируемый 06 Разделы дисциплины учения по Виды учебной деятельности промени, a дисциплине .. Лекции 4 Раздел 1. Введение в промышленный PAL. РАФ, к подход к разработке ПО РДЗ, РД4, Лабораторные занятия 2 РД Самостоятельная работа 10 Лекции 2 Раздел 2. Управление проектами по к РД? Лабораторные занятия 4 разработке ПО Самостоятельная работа 10 Лекции 4 Раздел 3. Фаза определения системы РДЗ Лабораторные занятия 4 Самостоятельная работа 12 Лекции 4 Раздел 4. Фаза реализации системы РД4 Лабораторные занятия 4 Самостоятельная работа 10 Лекции 4 Раздел 5. Передача системы РД4 Лабораторные занятия 4 Самостоятельная работа 10 Лекции 4 Раздел 6. Специфика разработки к РД Лабораторные занятия 4 информационных систем Самостоятельная работа 12 Лекции 4 Раздел 7. Общие понятия в области at проектирования ИС РД1 Лабораторные занятия 4 Самостоятельная работа 12 Лекции 2 Раздел 8. Серверные решения РД? Лабораторные занятия 4 Самостоятельная работа 12 Лекции 4 Раздел 9. Клиентские решения РД? Лабораторные занятия 4 Самостоятельная работа 20  Содержание разделов дисциплины:  Раздел 1. Введение в промышленный подход к разработке ПО  Цель и задачи дисциплины, ее роль и место в общей системе подготовки специалиста.  Основные положения: виды обеспечения вычислительной системы; понятия программы, программного комплекса, программной системы, программного обеспечения и программного продукта; определение и задачи программной инженерии.  Особенности промышленного ПО и кризис его разработки: понятие промышленного ПО, основные причины сложности разработки ПО.  Жизненный цикл программного продукта: понятие жизненного цикла, основные процессы жизненного цикла по стандарту ISO/IEC 15288; модели (парадигмы) жизненного цикла.  Методологии разработки ПО. Обзор методологий ЕСПД, MSF, RUP, Agile- методологии. Выбор и адаптация методологии разработки.  Темы лекций:  1. Введение в промышленный подход к разработке ПО  2. Введение в промышленный подход к разработке ПО  Названия лабораторных работ:  1. Инструменты и приемы технического документирования  Раздел 2. Управление проектами по разработке ПО  Основные положения: понятие проекта и управления проектом, цели и содержание проекта.  Введение в планирование: «железный треугольник», структура декомпозиции работ (WBS).  Управление конфигурацией: понятие конфигурации и управления конфигурацией, задачи управления конфигурацией; системы контроля версий; резервное копирование.  Оценка качества процесса разработки: обзор моделей качества; введение в CMMI- Dev.  Темы лекций:  3. Управление проектами по разработке ПО  Названия лабораторных работ:  2. Система управления версиями Git  Раздел 3. Фаза определения системы   Инженерия требований: задачи инженерии требований. Стандарт [ЗО IEC IEEE 29148. Стейкхолдеры.  Анализ потребностей, требования, разработка технического задания, управление изменениями.  Варианты использования (Use Cases): определение и роль в жизненном цикле.  Роль, цель и объекты проектирования. Архитектурное и детальное проектирование. Важность хорошей архитектуры.  Проектирование структуры: алгоритмическая и ОО-декомпозиции, нисходящее и восходящее проектирование. Модули. Многослойная архитектура приложений.  Критерии качества проектирования модулей и классов: зацепление и связность.  Представление проектных решений. UML, ERD, Screen flow.  Проектирование интерфейса пользователя: определение, классификации, основные требования и характеристики. Юзабилити, опыт пользователя. Стандарты и соглашения.  Темы лекций:  4. Фаза определения системы  5. Фаза определения системы  Названия лабораторных работ:  3. Варианты использования. Пользовательские истории  4. Диаграммы UML. Диаграмма вариантов использования  5. Техническое задание  4 Раздел 4. Фаза реализации системы  Методы повышения информативности программ: стили кодирования, системы именования и комментирования. Принципы оптимизации Kona. Безопасное программирование.  Менеджмент качества, обеспечения качества, верификация и валидация, тестирование. Цели, объекты и проблемы тестирования. Понятия тестов, тест-кейсов и тестовых планов.  Критерии качества тестирования: полнота покрытия поведения, операторов, маршрутов и параметров.  Виды тестирования: интеграционное и модульное тестирование; тестирование белого и черного ящика; альфа- и бета-тестирование, приёмочное, регрессионное, дымовое и нагрузочное тестирование и т.д.  Некоторые методы тестирования: инспекция кода, метод многократной разработки, методы эквивалентных разбиений и анализа граничных значений.  Организация тестирования. Средства автоматизации тестирования  Темы лекций:  6. Фаза реализации системы  7. Фаза реализации системы  Названия лабораторных работ:  6. Диаграммы UML. Диаграмма компонентов  7. Диаграмма последовательности  Раздел 5. Передача системы  Цели и задачи документирования. Стандарты.  Программная (системная) документация и пользовательская (эксплуатационная) документация. Принципы работы технического писателя.  Степени (этапы) готовности программных продуктов. Опытная и промышленная эксплуатация.  Общее и детальное планирования испытаний.  Задачи и проблемы внедрения.  Организация сопровождения и поддержки.  Темы лекций:  8. Передача системы  9. Передача системы  Названия лабораторных работ:  8. Эскизный проект. Технический проект  Раздел 6. Специфика разработки информационных систем  Основные группы понятий: система, модель и моделирование, проект и проектирование, данные, информация, информационная система. Задачи и области применение ИС. Уточнение понятий «база данных» и «система управления базами данных».  Модель ANSI/SPARC. Классификации ИС. Файл-серверная и клиент-серверная архитектуры. Многозвенные архитектуры. Микросервисная архитектура.  Темы лекций:  10. Специфика разработки информационных систем  11. Специфика разработки информационных систем  Названия лабораторных работ:  9. Инструменты проектирования БД  Раздел 7. Общие понятия в области проектирования HC  Общий порядок проектирования ИС. Моделирование бизнес-процессов. Выбор СУБД. Валидация требований по документам. САЗЕ-средства, модели и нотации.  Строгое определение понятия «модель данных». Обзор моделей данных. Компоненты реляционной модели данных.  Темы лекций:  12. Общие понятия в области проектирования ИС  13. Общие понятия в области проектирования ИС  Названия лабораторных работ:  10. Проектирование БД. Концептуальная модель  Раздел 8. Серверные решения  Хранимые процедуры. Пользовательские функции. Триггеры. Представления.  Понятия высокой доступности и высокой надёжности.  Индексы: В-деревья, кластерные и некластерные индексы. Обзор тематики оптимизации баз данных.  Резервное копирование и восстановление. Репликация. Зеркалирование. Кластеры.  Транзакции. Свойства ACID. Журнал транзакций. Проблема параллельной обработки. Уровни изоляции. Блокировки и версионирование. Тупики. Длинные и короткие транзакции. Распределенные транзакции.  Темы лекций:  14. Серверные решения  15. Серверные решения  Названия лабораторных работ:  11. Проектирование БД. Физическая модель  Особенности проектирования пользовательского интерфейса информационных систем.  ОКМ. Настольные, веб- и мобильные приложения.  Технологии построения отчетов: встроенные инструменты, компоненты, технологии шаблонов; промышленные средства.  Темы лекций:  16. Клиентские решения  17. Клиентские решения  Названия лабораторных работ:  12. Инструменты проектирования интерфейса пользователя  13. Проектирование интерфейса пользователя  14. Разработка клиент-серверной системы на основе ORM  5.",Бизнес-анализ и разработка информационных систем,основной вид учебный деятельность формировать раздел дисциплина учение вид учебный деятельность промя a дисциплина лекция раздел введение промышленный pal раф подход разработка по рдз рд лабораторный занятие рд самостоятельный работа лекция раздел управление проект рд лабораторный занятие 4 разработка по самостоятельный работа лекция раздел фаза определение система рдз лабораторный занятие самостоятельный работа лекция раздел фаза реализация система рд лабораторный занятие самостоятельный работа лекция раздел передача система рд лабораторный занятие самостоятельный работа лекция раздел специфика разработка рд лабораторный занятие информационный система самостоятельный работа лекция раздел общий понятие область at проектирование иса рд лабораторный занятие самостоятельный работа лекция раздел серверный решение рд лабораторный занятие самостоятельный работа лекция раздел клиентский решение рд лабораторный занятие самостоятельный работа содержание раздел дисциплина раздел введение промышленный подход разработка по цель задача дисциплина роль место общий система подготовка специалист основной положение вид обеспечение вычислительный система понятие программа программный комплекс программный система программный обеспечение программный продукт определение задача программный инженерия особенность промышленный по кризис разработка понятие промышленный по основной причина сложность разработка по жизненный цикл программный продукт понятие жизненный цикл основной процесс жизненный цикл стандарт iso iec модель парадигма жизненный цикл методология разработка по обзор методология еспд msf rup agile- методология выбор адаптация методология разработка тема лекция введение промышленный подход разработка по введение промышленный подход разработка по название лабораторный работа инструмент прием технический документирование раздел управление проект разработка по основный положение понятие проект управление проект цель содержание проект введение планирование железный треугольник структура декомпозиция работа wbs управление конфигурация понятие конфигурация управление конфигурация задача управление конфигурация система контроль версия резервный копирование оценка качество процесс разработка обзор модель качество введение cmmi- dev тема лекция управление проект разработка по название лабораторный работа система управление версия git раздел фаза определение система инженерия требование задача инженерия требование стандарт зо iec ieee стейкхолдер анализ потребность требование разработка технический задание управление изменение вариант использование use cases определение роль жизненный цикл роль цель объект проектирование архитектурный детальный проектирование важность хороший архитектура проектирование структура алгоритмический оо-декомпозиция нисходящий восходящий проектирование модуль многослойный архитектура приложение критерий качество проектирование модуль класс зацепление связность представление проектный решение uml erd screen flow проектирование интерфейс пользователь определение классификация основной требование характеристика юзабилить опыт пользователь стандарт соглашение тема лекция фаза определение система фаза определение система название лабораторный работа вариант использование пользовательский история диаграмма uml диаграмма вариант использование технический задание раздел фаза реализация система метод повышение информативность программа стиль кодирование система именование комментирование принцип оптимизация kona безопасный программирование менеджмент качество обеспечение качество верификация валидация тестирование цель объект проблема тестирование понятие тест тесто-кейс тестовый план критерий качество тестирование полнота покрытие поведение оператор маршрут параметр вид тестирование интеграционный модульный тестирование тестирование белый черный ящик альфа- бета-тестирование приемочный регрессионный дымовой нагрузочный тестирование так далее метод тестирование инспекция код метод многократный разработка метод эквивалентный разбиение анализ граничный значение организация тестирование средство автоматизация тестирование тема лекция фаза реализация система фаза реализация система название лабораторный работа диаграмма uml диаграмма компонент диаграмма последовательность раздел передача система цель задача документирование стандарт программный системный документация пользовательский эксплуатационный документация принцип работа технический писатель степень этап готовность программный продукт опытный промышленный эксплуатация общий детальный планирование испытание задача проблема внедрение организация сопровождение поддержка тема лекция передача система передача система название лабораторный работа эскизный проект технический проект раздел специфика разработка информационный система основной группа понятие система модель моделирование проект проектирование данные информация информационный система задача область применение иса уточнение понятие база данные система управление база данные модель ansi sparc классификация иса файл-серверный клиент-серверный архитектура многозвенный архитектура микросервисный архитектура тема лекция специфика разработка информационный система специфика разработка информационный система название лабораторный работа инструмент проектирование бд раздел общий понятие область проектирование hc общий порядок проектирование иса моделирование бизнес-процесс выбор субд валидация требование документ сазе-средство модель нотация строгий определение понятие модель данные обзор модель данные компонент реляционный модель данные тема лекция общий понятие область проектирование иса общий понятие область проектирование иса название лабораторный работа проектирование бд концептуальный модель раздел серверный решение хранимые процедура пользовательский функция триггеры представление понятие высокий доступность высокий надежность индекс в-дерево кластерный некластерный индекс обзор тематика оптимизация база данные резервный копирование восстановление репликация зеркалирование кластер транзакция свойство acid журнал транзакция проблема параллельный обработка уровень изоляция блокировка версионирование тупик длинный короткий транзакция распределенный транзакция тема лекция серверный решение серверный решение название лабораторный работа проектирование бд физический модель особенность проектирование пользовательский интерфейс информационный система окм настольный веб- мобильный приложение технология построение отчет встроить инструмент компонент технология шаблон промышленный средство тема лекция клиентский решение клиентский решение название лабораторный работа инструмент проектирование интерфейс пользователь проектирование интерфейс пользователь разработка клиент-серверный система основа orm
